t,r,m,c,value
1820,CHN,Ni,concentrate,0.0
1820,CHN,Ni,refined_metal,0.0
1820,CHN,Ni,scrap,0.0
1820,CHN,Sn,concentrate,0.0
1820,CHN,Sn,refined_metal,0.0
1820,CHN,Sn,scrap,0.0
1820,CHN,Zn,concentrate,0.0
1820,CHN,Zn,refined_metal,0.0
1820,CHN,Zn,scrap,0.0
1820,EU27,Ni,concentrate,0.0
1820,EU27,Ni,refined_metal,0.0
1820,EU27,Ni,scrap,0.0
1820,EU27,Sn,concentrate,0.0
1820,EU27,Sn,refined_metal,0.0
1820,EU27,Sn,scrap,0.0
1820,EU27,Zn,concentrate,0.0
1820,EU27,Zn,refined_metal,0.0
1820,EU27,Zn,scrap,0.0
1820,ROW,Ni,concentrate,0.0
1820,ROW,Ni,refined_metal,0.0
1820,ROW,Ni,scrap,0.0
1820,ROW,Sn,concentrate,0.0
1820,ROW,Sn,refined_metal,0.0
1820,ROW,Sn,scrap,0.0
1820,ROW,Zn,concentrate,0.0
1820,ROW,Zn,refined_metal,0.0
1820,ROW,Zn,scrap,0.0
1821,CHN,Ni,concentrate,0.0
1821,CHN,Ni,refined_metal,0.0
1821,CHN,Ni,scrap,0.0
1821,CHN,Sn,concentrate,0.0
1821,CHN,Sn,refined_metal,0.0
1821,CHN,Sn,scrap,0.0
1821,CHN,Zn,concentrate,0.0
1821,CHN,Zn,refined_metal,0.0
1821,CHN,Zn,scrap,0.0
1821,EU27,Ni,concentrate,0.0
1821,EU27,Ni,refined_metal,0.0
1821,EU27,Ni,scrap,0.0
1821,EU27,Sn,concentrate,0.0
1821,EU27,Sn,refined_metal,0.0
1821,EU27,Sn,scrap,0.0
1821,EU27,Zn,concentrate,0.0
1821,EU27,Zn,refined_metal,0.0
1821,EU27,Zn,scrap,0.0
1821,ROW,Ni,concentrate,0.0
1821,ROW,Ni,refined_metal,0.0
1821,ROW,Ni,scrap,0.0
1821,ROW,Sn,concentrate,0.0
1821,ROW,Sn,refined_metal,0.0
1821,ROW,Sn,scrap,0.0
1821,ROW,Zn,concentrate,0.0
1821,ROW,Zn,refined_metal,0.0
1821,ROW,Zn,scrap,0.0
1822,CHN,Ni,concentrate,0.0
1822,CHN,Ni,refined_metal,0.0
1822,CHN,Ni,scrap,0.0
1822,CHN,Sn,concentrate,0.0
1822,CHN,Sn,refined_metal,0.0
1822,CHN,Sn,scrap,0.0
1822,CHN,Zn,concentrate,0.0
1822,CHN,Zn,refined_metal,0.0
1822,CHN,Zn,scrap,0.0
1822,EU27,Ni,concentrate,0.0
1822,EU27,Ni,refined_metal,0.0
1822,EU27,Ni,scrap,0.0
1822,EU27,Sn,concentrate,0.0
1822,EU27,Sn,refined_metal,0.0
1822,EU27,Sn,scrap,0.0
1822,EU27,Zn,concentrate,0.0
1822,EU27,Zn,refined_metal,0.0
1822,EU27,Zn,scrap,0.0
1822,ROW,Ni,concentrate,0.0
1822,ROW,Ni,refined_metal,0.0
1822,ROW,Ni,scrap,0.0
1822,ROW,Sn,concentrate,0.0
1822,ROW,Sn,refined_metal,0.0
1822,ROW,Sn,scrap,0.0
1822,ROW,Zn,concentrate,0.0
1822,ROW,Zn,refined_metal,0.0
1822,ROW,Zn,scrap,0.0
1823,CHN,Ni,concentrate,0.0
1823,CHN,Ni,refined_metal,0.0
1823,CHN,Ni,scrap,0.0
1823,CHN,Sn,concentrate,0.0
1823,CHN,Sn,refined_metal,0.0
1823,CHN,Sn,scrap,0.0
1823,CHN,Zn,concentrate,0.0
1823,CHN,Zn,refined_metal,0.0
1823,CHN,Zn,scrap,0.0
1823,EU27,Ni,concentrate,0.0
1823,EU27,Ni,refined_metal,0.0
1823,EU27,Ni,scrap,0.0
1823,EU27,Sn,concentrate,0.0
1823,EU27,Sn,refined_metal,0.0
1823,EU27,Sn,scrap,0.0
1823,EU27,Zn,concentrate,0.0
1823,EU27,Zn,refined_metal,0.0
1823,EU27,Zn,scrap,0.0
1823,ROW,Ni,concentrate,0.0
1823,ROW,Ni,refined_metal,0.0
1823,ROW,Ni,scrap,0.0
1823,ROW,Sn,concentrate,0.0
1823,ROW,Sn,refined_metal,0.0
1823,ROW,Sn,scrap,0.0
1823,ROW,Zn,concentrate,0.0
1823,ROW,Zn,refined_metal,0.0
1823,ROW,Zn,scrap,0.0
1824,CHN,Ni,concentrate,0.0
1824,CHN,Ni,refined_metal,0.0
1824,CHN,Ni,scrap,0.0
1824,CHN,Sn,concentrate,0.0
1824,CHN,Sn,refined_metal,0.0
1824,CHN,Sn,scrap,0.0
1824,CHN,Zn,concentrate,0.0
1824,CHN,Zn,refined_metal,0.0
1824,CHN,Zn,scrap,0.0
1824,EU27,Ni,concentrate,0.0
1824,EU27,Ni,refined_metal,0.0
1824,EU27,Ni,scrap,0.0
1824,EU27,Sn,concentrate,0.0
1824,EU27,Sn,refined_metal,0.0
1824,EU27,Sn,scrap,0.0
1824,EU27,Zn,concentrate,0.0
1824,EU27,Zn,refined_metal,0.0
1824,EU27,Zn,scrap,0.0
1824,ROW,Ni,concentrate,0.0
1824,ROW,Ni,refined_metal,0.0
1824,ROW,Ni,scrap,0.0
1824,ROW,Sn,concentrate,0.0
1824,ROW,Sn,refined_metal,0.0
1824,ROW,Sn,scrap,0.0
1824,ROW,Zn,concentrate,0.0
1824,ROW,Zn,refined_metal,0.0
1824,ROW,Zn,scrap,0.0
1825,CHN,Ni,concentrate,0.0
1825,CHN,Ni,refined_metal,0.0
1825,CHN,Ni,scrap,0.0
1825,CHN,Sn,concentrate,0.0
1825,CHN,Sn,refined_metal,0.0
1825,CHN,Sn,scrap,0.0
1825,CHN,Zn,concentrate,0.0
1825,CHN,Zn,refined_metal,0.0
1825,CHN,Zn,scrap,0.0
1825,EU27,Ni,concentrate,0.0
1825,EU27,Ni,refined_metal,0.0
1825,EU27,Ni,scrap,0.0
1825,EU27,Sn,concentrate,0.0
1825,EU27,Sn,refined_metal,0.0
1825,EU27,Sn,scrap,0.0
1825,EU27,Zn,concentrate,0.0
