t,r,m,value
1820,CHN,Ni,0.0
1820,CHN,Sn,4.492179363340828
1820,CHN,Zn,3.979467210345647
1820,EU27,Ni,0.0
1820,EU27,Sn,0.0
1820,EU27,Zn,0.0
1820,ROW,Ni,0.0309666666666666
1820,ROW,Sn,46.163493626316054
1820,ROW,Zn,131.2813316830365
1821,CHN,Ni,0.0
1821,CHN,Sn,8.76622921365454
1821,CHN,Zn,7.846559731402834
1821,EU27,Ni,0.0
1821,EU27,Sn,0.0
1821,EU27,Zn,0.0
1821,ROW,Ni,0.059907352313076874
1821,ROW,Sn,89.90389047844965
1821,ROW,Zn,257.16675585778626
1822,CHN,Ni,0.0
1822,CHN,Sn,12.954359080989587
1822,CHN,Zn,11.704855522749444
1822,EU27,Ni,0.0
1822,EU27,Sn,0.0
1822,EU27,Zn,0.0
1822,ROW,Ni,0.08790132192343497
1822,ROW,Sn,132.58962693573955
1822,ROW,Zn,381.23966096467757
1823,CHN,Ni,0.0
1823,CHN,Sn,16.995009890107546
1823,CHN,Zn,15.493552522766596
1823,EU27,Ni,0.0
1823,EU27,Sn,0.0
1823,EU27,Zn,0.0
1823,ROW,Ni,0.11450618672708746
1823,ROW,Sn,173.60098480889906
1823,ROW,Zn,501.6711104244989
1824,CHN,Ni,0.0
1824,CHN,Sn,20.860501703773366
1824,CHN,Zn,19.180860922203394
1824,EU27,Ni,0.0
1824,EU27,Sn,0.0
1824,EU27,Zn,0.0
1824,ROW,Ni,0.13954619313483568
1824,ROW,Sn,212.66774546732134
1824,ROW,Zn,617.5860922022752
1825,CHN,Ni,0.0
1825,CHN,Sn,24.54097970780385
1825,CHN,Zn,22.75065256900468
1825,EU27,Ni,0.0
1825,EU27,Sn,0.0
1825,EU27,Zn,0.0
1825,ROW,Ni,0.1629846544501884
1825,ROW,Sn,249.70323042371922
1825,ROW,Zn,728.6165422065059
1826,CHN,Ni,0.0
1826,CHN,Sn,28.0358679327189
1826,CHN,Zn,26.195330792289717
1826,EU27,Ni,0.0
1826,EU27,Sn,0.0
1826,EU27,Zn,0.0
1826,ROW,Ni,0.18485561752877955
1826,ROW,Sn,284.7159193957073
1826,ROW,Zn,834.6633254595856
1827,CHN,Ni,0.0
1827,CHN,Sn,31.34932275482294
1827,CHN,Zn,29.858851580422915
1827,EU27,Ni,0.0
1827,EU27,Sn,0.0
1827,EU27,Zn,0.0
1827,ROW,Ni,0.20522738225176787
1827,ROW,Sn,317.7624113936118
1827,ROW,Zn,946.861597113749
1828,CHN,Ni,0.0
1828,CHN,Sn,34.48781736826516
1828,CHN,Zn,33.50449851341951
1828,EU27,Ni,0.0
1828,EU27,Sn,0.0
1828,EU27,Zn,0.0
1828,ROW,Ni,0.2241831407677099
1828,ROW,Sn,348.9224228287311
1828,ROW,Zn,1057.6941513976371
1829,CHN,Ni,0.0
1829,CHN,Sn,37.45886162254444
1829,CHN,Zn,37.35401616189703
1829,EU27,Ni,0.0
1829,EU27,Sn,0.0
1829,EU27,Zn,0.0
1829,ROW,Ni,0.24181080995336027
1829,ROW,Sn,378.28553516274036
1829,ROW,Zn,1174.2679365712277
1830,CHN,Ni,0.0
1830,CHN,Sn,40.574898870269074
1830,CHN,Zn,41.17472434279696
1830,EU27,Ni,0.0
1830,EU27,Sn,0.0
1830,EU27,Zn,0.0
1830,ROW,Ni,0.2581977930874038
1830,ROW,Sn,409.0246281685321
1830,ROW,Zn,1289.255038412226
1831,CHN,Ni,0.0
1831,CHN,Sn,43.5999483970196
1831,CHN,Zn,45.18636154203185
1831,EU27,Ni,0.0
1831,EU27,Sn,0.0
1831,EU27,Zn,0.0
1831,ROW,Ni,0.27342837748828924
1831,ROW,Sn,438.7582886788386
1831,ROW,Zn,1409.628910901708
1832,CHN,Ni,0.0
1832,CHN,Sn,46.764956317086344
1832,CHN,Zn,49.16022987683007
1832,EU27,Ni,0.0
1832,EU27,Sn,0.0
1832,EU27,Zn,0.0
1832,ROW,Ni,0.287582535263334
1832,ROW,Sn,469.82314191681445
1832,ROW,Zn,1528.2420321466425
1833,CHN,Ni,0.0
1833,CHN,Sn,49.83657747861229
1833,CHN,Zn,53.313710608660884
1833,EU27,Ni,0.0
1833,EU27,Sn,0.0
1833,EU27,Zn,0.0
1833,ROW,Ni,0.30073546484370456
1833,ROW,Sn,499.87205972604767
1833,ROW,Zn,1651.9333662423248
1834,CHN,Ni,0.0
1834,CHN,Sn,53.043802791441884
1834,CHN,Zn,57.42208499107307
1834,EU27,Ni,0.0
1834,EU27,Sn,0.0
1834,EU27,Zn,0.0
1834,ROW,Ni,0.3129575179097746
1834,ROW,Sn,531.2134007553963
1834,ROW,Zn,1773.727959636415
1835,CHN,Ni,0.0
1835,CHN,Sn,56.15585785034233
1835,CHN,Zn,61.70009742359043
1835,EU27,Ni,0.0
1835,EU27,Sn,0.0
1835,EU27,Zn,0.0
1835,ROW,Ni,0.32431432140211064
1835,ROW,Sn,561.5331717776984
1835,ROW,Zn,1900.33008226682
1836,CHN,Ni,0.0
1836,CHN,Sn,59.399690899404604
1836,CHN,Zn,65.92701595679577
1836,EU27,Ni,0.0
1836,EU27,Sn,0.0
1836,EU27,Zn,0.0
1836,ROW,Ni,0.3348669930840126
1836,ROW,Sn,593.1112983395807
1836,ROW,Zn,2024.9304291309404
1837,CHN,Ni,0.0
1837,CHN,Sn,62.547059478640925
1837,CHN,Zn,70.31472587255615
1837,EU27,Ni,0.0
1837,EU27,Sn,0.0
1837,EU27,Zn,0.0
1837,ROW,Ni,0.3446723968282885
1837,ROW,Sn,623.665941825477
1837,ROW,Zn,2154.09899192392
1838,CHN,Ni,0.0
1838,CHN,Sn,65.82279790091556
1838,CHN,Zn,74.64648456456368
1838,EU27,Ni,0.0
1838,EU27,Sn,0.0
1838,EU27,Zn,0.0
1838,ROW,Ni,0.3537834094151316
1838,ROW,Sn,655.4485711165536
1838,ROW,Zn,2281.1859459913194
1839,CHN,Ni,0.0
1839,CHN,Sn,69.00117219543972
1839,CHN,Zn,79.13114271331669
1839,EU27,Ni,0.0
1839,EU27,Sn,0.0
1839,EU27,Zn,0.0
1839,ROW,Ni,0.36224918435797954
1839,ROW,Sn,686.2086546261721
1839,ROW,Zn,2412.6279040054883
1840,CHN,Ni,0.0
1840,CHN,Sn,72.3048453195346
1840,CHN,Zn,83.55594072297558
1840,EU27,Ni,0.0
1840,EU27,Sn,0.0
1840,EU27,Zn,0.0
1840,ROW,Ni,0.3701154056130177
1840,ROW,Sn,718.1692852777215
1840,ROW,Zn,2541.928974029062
1841,CHN,Ni,0.0
1841,CHN,Sn,75.51057617740139
1841,CHN,Zn,88.12655804399593
1841,EU27,Ni,0.0
1841,EU27,Sn,0.0
1841,EU27,Zn,0.0
1841,ROW,Ni,0.37742452793108566
1841,ROW,Sn,749.1104955890124
1841,ROW,Zn,2675.3936627175294
1842,CHN,Ni,0.0
1842,CHN,Sn,78.8388103537995
1842,CHN,Zn,92.63420294387726
1842,EU27,Ni,0.0
1842,EU27,Sn,0.0
1842,EU27,Zn,0.0
1842,ROW,Ni,0.3842160026683251
1842,ROW,Sn,781.2271593346846
1842,ROW,Zn,2806.674975821703
1843,CHN,Ni,0.0
1843,CHN,Sn,82.06878791881722
1843,CHN,Zn,97.2812794919046
1843,EU27,Ni,0.0
1843,EU27,Sn,0.0
1843,EU27,Zn,0.0
1843,ROW,Ni,0.3905264889394151
1843,ROW,Sn,812.3292122347534
1843,ROW,Zn,2941.9468736317285
1844,CHN,Ni,0.0
1844,CHN,Sn,85.41870068147915
1844,CHN,Zn,101.86294089383102
1844,EU27,Ni,0.0
