t,r,m,value
1820,EU27,Zn,7.859149005892197
1820,EU27,Ni,2.9267770350000006
1820,EU27,Sn,0.864748158293426
1820,CHN,Zn,0.17946721034564683
1820,CHN,Ni,0.004849844999999992
1820,CHN,Sn,0.0811793633408285
1820,ROW,Zn,3.967331683036297
1820,ROW,Ni,0.0
1820,ROW,Sn,0.43949362631604466
1821,EU27,Zn,9.380387062469724
1821,EU27,Ni,2.965025228188484
1821,EU27,Sn,0.9017158304698711
1821,CHN,Zn,0.2325028186792837
1821,CHN,Ni,0.005242192457129127
1821,CHN,Sn,0.10101181921872954
1821,ROW,Zn,4.872607697945963
1821,ROW,Ni,0.0
1821,ROW,Sn,0.552546320660213
1822,EU27,Zn,11.662226813921155
1822,EU27,Ni,3.0205077952087485
1822,EU27,Sn,0.9724500561671591
1822,CHN,Zn,0.30769158137792324
1822,CHN,Ni,0.0058056743327465615
1822,CHN,Sn,0.1292871913003064
1822,ROW,Zn,6.146551325104692
1822,ROW,Ni,0.0
1822,ROW,Sn,0.7092792145068555
1823,EU27,Zn,14.285353316672506
1823,EU27,Ni,3.0828511432791244
1823,EU27,Sn,1.064833155644104
1823,CHN,Zn,0.38996983186271095
1823,CHN,Ni,0.006431362813530997
1823,CHN,Sn,0.1604313709036424
1823,ROW,Zn,7.529269278024343
1823,ROW,Ni,0.0
1823,ROW,Sn,0.8766304350862757
1824,EU27,Zn,17.06191709681775
1824,EU27,Ni,3.1470076408840058
1824,EU27,Sn,1.1766287103764463
1824,CHN,Zn,0.4721497662820589
1824,CHN,Ni,0.007066393724475069
1824,CHN,Sn,0.19176756981158463
1824,ROW,Zn,8.89834994315235
1824,ROW,Ni,0.0
1824,ROW,Sn,1.0394781126008072
1825,EU27,Zn,19.90832389136207
1825,EU27,Ni,3.2105759319401592
1825,EU27,Sn,1.3079031115211048
1825,CHN,Zn,0.550951001413339
1825,CHN,Ni,0.007685813823942071
1825,CHN,Sn,0.22205818420164358
1825,ROW,Zn,10.199339799676466
1825,ROW,Ni,0.0
1825,ROW,Sn,1.1914842423154273
1826,EU27,Zn,22.78709014110901
1826,EU27,Ni,3.2724643188842526
1826,EU27,Sn,1.458564512322122
1826,CHN,Zn,0.6250190995966471
1826,CHN,Ni,0.008278516694069489
1826,CHN,Sn,0.2507765633912976
1826,ROW,Zn,11.411064742298997
1826,ROW,Ni,0.0
1826,ROW,Sn,1.3305417906440689
1827,EU27,Zn,25.680669557449505
1827,EU27,Ni,3.3322246649222595
1827,EU27,Sn,1.627829044268823
1827,CHN,Zn,0.6939373279636889
1827,CHN,Ni,0.008840220455073523
