t,r,m,j,value
1820,EU27,Zn,construction,6.520058473656539
1820,EU27,Zn,computers_and_precision_instruments,5.0113279355435045
1820,EU27,Zn,electrical_equipment,11.468439891565025
1820,EU27,Zn,machinery_and_equipment,74.96231113292464
1820,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,17.1117165005147
1820,EU27,Zn,other_transport_equipment,4.731019328798731
1820,EU27,Zn,products_nec,24.598542868204895
1820,EU27,Ni,construction,0.03996256915444012
1820,EU27,Ni,computers_and_precision_instruments,0.09481635699283024
1820,EU27,Ni,electrical_equipment,0.16975562761119792
1820,EU27,Ni,machinery_and_equipment,1.7309762984938881
1820,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.3472308712979176
1820,EU27,Ni,other_transport_equipment,0.07065646609866165
1820,EU27,Ni,products_nec,0.5043455120177328
1820,EU27,Sn,construction,0.20652171527824198
1820,EU27,Sn,computers_and_precision_instruments,0.16046608527868506
1820,EU27,Sn,electrical_equipment,0.3666242414869168
1820,EU27,Sn,machinery_and_equipment,3.367413040815001
1820,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,0.6994072659454775
1820,EU27,Sn,other_transport_equipment,0.17469520026024032
1820,EU27,Sn,products_nec,0.9924914184048247
1820,CHN,Zn,construction,0.1636772783062747
1820,CHN,Zn,computers_and_precision_instruments,2.612604146548428
1820,CHN,Zn,electrical_equipment,0.8571438387895506
1820,CHN,Zn,machinery_and_equipment,0.5713753725473989
1820,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.8335018177356373
1820,CHN,Zn,other_transport_equipment,0.0885757187296841
1820,CHN,Zn,products_nec,1.2035348906815386
1820,CHN,Ni,construction,0.00039953948609812304
1820,CHN,Ni,computers_and_precision_instruments,0.01625183309198941
1820,CHN,Ni,electrical_equipment,0.0035216157894688268
1820,CHN,Ni,machinery_and_equipment,0.0022850424823965517
1820,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0053739413940451135
1820,CHN,Ni,other_transport_equipment,0.00016316042013964595
1820,CHN,Ni,products_nec,0.007821379002528921
1820,CHN,Sn,construction,0.4616676300309933
1820,CHN,Sn,computers_and_precision_instruments,1.4867624924660607
1820,CHN,Sn,electrical_equipment,1.1222746374264174
1820,CHN,Sn,machinery_and_equipment,0.7606634760409537
1820,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.5603686029690383
1820,CHN,Sn,other_transport_equipment,0.154981050745859
1820,CHN,Sn,products_nec,0.6075274018018516
1820,ROW,Zn,construction,5.825028589156065
1820,ROW,Zn,computers_and_precision_instruments,28.074263954639225
1820,ROW,Zn,electrical_equipment,20.58033574235061
1820,ROW,Zn,machinery_and_equipment,26.350251363048873
1820,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,20.5661066574381
1820,ROW,Zn,other_transport_equipment,4.914189179750854
1820,ROW,Zn,products_nec,73.61416388034175
1820,ROW,Ni,construction,0.0
1820,ROW,Ni,computers_and_precision_instruments,0.0
1820,ROW,Ni,electrical_equipment,0.0
1820,ROW,Ni,machinery_and_equipment,0.0
1820,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1820,ROW,Ni,other_transport_equipment,0.0
1820,ROW,Ni,products_nec,0.0
1820,ROW,Sn,construction,1.6400341426981715
1820,ROW,Sn,computers_and_precision_instruments,3.691228098416384
1820,ROW,Sn,electrical_equipment,3.090302903210313
1820,ROW,Sn,machinery_and_equipment,6.530526031633909
1820,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,3.8392766083106094
1820,ROW,Sn,other_transport_equipment,1.1210034855146498
1820,ROW,Sn,products_nec,14.968075263235376
1821,EU27,Zn,construction,13.427047355927268
1821,EU27,Zn,computers_and_precision_instruments,9.930337118608328
1821,EU27,Zn,electrical_equipment,23.309455873993695
1821,EU27,Zn,machinery_and_equipment,152.35992864649754
1821,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,34.24154584982843
1821,EU27,Zn,other_transport_equipment,9.63601144437164
1821,EU27,Zn,products_nec,48.174665676789736
1821,EU27,Ni,construction,0.08029273070369326
1821,EU27,Ni,computers_and_precision_instruments,0.1835300762549421
1821,EU27,Ni,electrical_equipment,0.3372274275941863
1821,EU27,Ni,machinery_and_equipment,3.4386647004396242
1821,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.6788772603209697
1821,EU27,Ni,other_transport_equipment,0.14066516041071353
1821,EU27,Ni,products_nec,0.9603966990434609
1821,EU27,Sn,construction,0.5131948623975231
1821,EU27,Sn,computers_and_precision_instruments,0.38650001143391793
1821,EU27,Sn,electrical_equipment,0.9017188499458588
1821,EU27,Sn,machinery_and_equipment,8.28221233310004
1821,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,1.6982232528277934
1821,EU27,Sn,other_transport_equipment,0.43041464932937756
1821,EU27,Sn,products_nec,2.3387930962916306
1821,CHN,Zn,construction,0.3225491657358517
1821,CHN,Zn,computers_and_precision_instruments,4.987698825228818
1821,CHN,Zn,electrical_equipment,1.6800019240275192
1821,CHN,Zn,machinery_and_equipment,1.1198957301929018
1821,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,1.6074677913473003
1821,CHN,Zn,other_transport_equipment,0.17398801893330806
1821,CHN,Zn,products_nec,2.293035146330187
1821,CHN,Ni,construction,0.0007953261686025671
1821,CHN,Ni,computers_and_precision_instruments,0.03138454280248952
1821,CHN,Ni,electrical_equipment,0.006980010573321331
1821,CHN,Ni,machinery_and_equipment,0.0045290632599140155
1821,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.010482513027861965
1821,CHN,Ni,other_transport_equipment,0.0003240909989305302
1821,CHN,Ni,products_nec,0.015044890560090505
1821,CHN,Sn,construction,0.9157537876880448
1821,CHN,Sn,computers_and_precision_instruments,2.838364758344298
1821,CHN,Sn,electrical_equipment,2.1996582893557783
1821,CHN,Sn,machinery_and_equipment,1.4909004130402694
1821,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,1.080710877154574
1821,CHN,Sn,other_transport_equipment,0.3044270639650802
1821,CHN,Sn,products_nec,1.158150853973479
1821,ROW,Zn,construction,11.552330775912205
1821,ROW,Zn,computers_and_precision_instruments,53.59632209522034
1821,ROW,Zn,electrical_equipment,40.3374580550072
1821,ROW,Zn,machinery_and_equipment,51.64649267157579
1821,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,39.663205696487765
1821,ROW,Zn,other_transport_equipment,9.652871603082033
1821,ROW,Zn,products_nec,139.03053728204395
1821,ROW,Ni,construction,0.0
1821,ROW,Ni,computers_and_precision_instruments,0.0
1821,ROW,Ni,electrical_equipment,0.0
1821,ROW,Ni,machinery_and_equipment,0.0
1821,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1821,ROW,Ni,other_transport_equipment,0.0
1821,ROW,Ni,products_nec,0.0
1821,ROW,Sn,construction,3.2563051840383284
1821,ROW,Sn,computers_and_precision_instruments,7.046890006067643
1821,ROW,Sn,electrical_equipment,6.056993690292214
1821,ROW,Sn,machinery_and_equipment,12.799831022002461
1821,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,7.404319173170461
1821,ROW,Sn,other_transport_equipment,2.201971132260919
1821,ROW,Sn,products_nec,27.854230237535457
1822,EU27,Zn,construction,20.54143014396152
1822,EU27,Zn,computers_and_precision_instruments,14.6313366093507
1822,EU27,Zn,electrical_equipment,35.20129426527834
1822,EU27,Zn,machinery_and_equipment,230.08974175608944
1822,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,50.93035160379829
1822,EU27,Zn,other_transport_equipment,14.582179442205708
1822,EU27,Zn,products_nec,70.1868159055566
1822,EU27,Ni,construction,0.12091849664722108
1822,EU27,Ni,computers_and_precision_instruments,0.2665402724120938
1822,EU27,Ni,electrical_equipment,0.5022280462459082
1822,EU27,Ni,machinery_and_equipment,5.121154784227096
1822,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,0.9954822566006571
1822,EU27,Ni,other_transport_equipment,0.20993321301651643
1822,EU27,Ni,products_nec,1.3732320522242216
1822,EU27,Sn,construction,0.8666935731111995
1822,EU27,Sn,computers_and_precision_instruments,0.6318413020025553
1822,EU27,Sn,electrical_equipment,1.506470288136534
1822,EU27,Sn,machinery_and_equipment,13.836803789343335
1822,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,2.7994111271465103
1822,EU27,Sn,other_transport_equipment,0.7203913328655674
1822,EU27,Sn,products_nec,3.7390430385452813
1822,CHN,Zn,construction,0.4767567434559938
1822,CHN,Zn,computers_and_precision_instruments,7.146875805847354
1822,CHN,Zn,electrical_equipment,2.469945685855969
1822,CHN,Zn,machinery_and_equipment,1.6464752735325847
1822,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,2.326150481129559
1822,CHN,Zn,other_transport_equipment,0.25634987984394547
1822,CHN,Zn,products_nec,3.279305520582726
1822,CHN,Ni,construction,0.001186889821444997
1822,CHN,Ni,computers_and_precision_instruments,0.04547594109250055
1822,CHN,Ni,electrical_equipment,0.010372528543434421
1822,CHN,Ni,machinery_and_equipment,0.006730339079719273
1822,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.01533675817616639
1822,CHN,Ni,other_transport_equipment,0.0004826311629747726
1822,CHN,Ni,products_nec,0.021717902460047293
1822,CHN,Sn,construction,1.3623829753612247
1822,CHN,Sn,computers_and_precision_instruments,4.067094090960877
1822,CHN,Sn,electrical_equipment,3.2339465952079647
1822,CHN,Sn,machinery_and_equipment,2.1919278725596123
1822,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,1.563885846041143
1822,CHN,Sn,other_transport_equipment,0.4485357195693292
1822,CHN,Sn,products_nec,1.6572002551728118
1822,ROW,Zn,construction,17.183546114406198
1822,ROW,Zn,computers_and_precision_instruments,76.79819313211226
1822,ROW,Zn,electrical_equipment,59.30429547515752
1822,ROW,Zn,machinery_and_equipment,75.93088432776163
1822,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,57.39622623274816
1822,ROW,Zn,other_transport_equipment,14.2223153684371
1822,ROW,Zn,products_nec,197.1620392031531
1822,ROW,Ni,construction,0.0
1822,ROW,Ni,computers_and_precision_instruments,0.0
1822,ROW,Ni,electrical_equipment,0.0
1822,ROW,Ni,machinery_and_equipment,0.0
1822,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1822,ROW,Ni,other_transport_equipment,0.0
1822,ROW,Ni,products_nec,0.0
1822,ROW,Sn,construction,4.8491574369658235
1822,ROW,Sn,computers_and_precision_instruments,10.097491740296059
1822,ROW,Sn,electrical_equipment,8.90501684589084
1822,ROW,Sn,machinery_and_equipment,18.81836381275627
1822,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,10.714715840540324
1822,ROW,Sn,other_transport_equipment,3.244332791623393
1822,ROW,Sn,products_nec,38.948040704238444
1823,EU27,Zn,construction,27.93509963940608
1823,EU27,Zn,computers_and_precision_instruments,19.191497349974902
1823,EU27,Zn,electrical_equipment,47.273172126858135
1823,EU27,Zn,machinery_and_equipment,308.9963648691412
