t,r,m,value
1820,CHN,Ni,0.0
1820,CHN,Sn,0.8715493945863487
1820,CHN,Zn,0.6286267847814563
1820,EU27,Ni,0.0
1820,EU27,Sn,0.0
1820,EU27,Zn,0.0
1820,ROW,Ni,
1820,ROW,Sn,1.3234777135841502
1820,ROW,Zn,0.7296474292755661
1821,CHN,Ni,0.0
1821,CHN,Sn,1.700778429800668
1821,CHN,Zn,1.239502012411099
1821,EU27,Ni,0.0
1821,EU27,Sn,0.0
1821,EU27,Zn,0.0
1821,ROW,Ni,
1821,ROW,Sn,2.5774867988957646
1821,ROW,Zn,1.429304988768764
1822,CHN,Ni,0.0
1822,CHN,Sn,2.51333771452394
1822,CHN,Zn,1.8489876419809368
1822,EU27,Ni,0.0
1822,EU27,Sn,0.0
1822,EU27,Zn,0.0
1822,ROW,Ni,
1822,ROW,Sn,3.801259448046928
1822,ROW,Zn,2.1188887635020017
1823,CHN,Ni,0.0
1823,CHN,Sn,3.2972838755255274
1823,CHN,Zn,2.447478919265532
1823,EU27,Ni,0.0
1823,EU27,Sn,0.0
1823,EU27,Zn,0.0
1823,ROW,Ni,
1823,ROW,Sn,4.977028738567195
1823,ROW,Zn,2.788233721964541
1824,CHN,Ni,0.0
1824,CHN,Sn,4.047246594617277
1824,CHN,Zn,3.029954085189636
1824,EU27,Ni,0.0
1824,EU27,Sn,0.0
1824,EU27,Zn,0.0
1824,ROW,Ni,
1824,ROW,Sn,6.097047675866028
1824,ROW,Zn,3.4324766419928054
1825,CHN,Ni,0.0
1825,CHN,Sn,4.761313891746652
1825,CHN,Zn,3.5938654146847915
1825,EU27,Ni,0.0
1825,EU27,Sn,0.0
1825,EU27,Zn,0.0
1825,ROW,Ni,
1825,ROW,Sn,7.158831243382497
1825,ROW,Zn,4.049571863212018
1826,CHN,Ni,0.0
1826,CHN,Sn,5.439374020295569
1826,CHN,Zn,4.138012880074333
1826,EU27,Ni,0.0
1826,EU27,Sn,0.0
1826,EU27,Zn,0.0
1826,ROW,Ni,
1826,ROW,Sn,8.162622549174483
1826,ROW,Zn,4.638968404148775
1827,CHN,Ni,0.0
1827,CHN,Sn,6.082233378886786
1827,CHN,Zn,4.716730374727133
1827,EU27,Ni,0.0
1827,EU27,Sn,0.0
1827,EU27,Zn,0.0
1827,ROW,Ni,
1827,ROW,Sn,9.110044250517102
1827,ROW,Zn,5.262554251672594
1828,CHN,Ni,0.0
1828,CHN,Sn,6.6911478631525725
1828,CHN,Zn,5.292624379829131
1828,EU27,Ni,0.0
1828,EU27,Sn,0.0
1828,EU27,Zn,0.0
1828,ROW,Ni,
1828,ROW,Sn,10.003381765724109
1828,ROW,Zn,5.878549589901883
1829,CHN,Ni,0.0
1829,CHN,Sn,7.267574495231798
1829,CHN,Zn,5.900723347457439
1829,EU27,Ni,0.0
1829,EU27,Sn,0.0
1829,EU27,Zn,0.0
1829,ROW,Ni,
1829,ROW,Sn,10.845203337767689
1829,ROW,Zn,6.526454067883525
1830,CHN,Ni,0.0
1830,CHN,Sn,7.87213191761023
1830,CHN,Zn,6.504271353357132
1830,EU27,Ni,0.0
1830,EU27,Sn,0.0
1830,EU27,Zn,0.0
1830,ROW,Ni,
1830,ROW,Sn,11.726473391942363
1830,ROW,Zn,7.165539931673352
1831,CHN,Ni,0.0
1831,CHN,Sn,8.459036373195547
1831,CHN,Zn,7.137979953269348
1831,EU27,Ni,0.0
1831,EU27,Sn,0.0
1831,EU27,Zn,0.0
1831,ROW,Ni,
1831,ROW,Sn,12.578918342214385
1831,ROW,Zn,7.8345648835678965
1832,CHN,Ni,0.0
1832,CHN,Sn,9.073094832015345
1832,CHN,Zn,7.765722297258174
1832,EU27,Ni,0.0
1832,EU27,Sn,0.0
1832,EU27,Zn,0.0
1832,ROW,Ni,
1832,ROW,Sn,13.469527733025009
1832,ROW,Zn,8.493803770660177
1833,CHN,Ni,0.0
1833,CHN,Sn,9.669034875187535
1833,CHN,Zn,8.421837576035845
1833,EU27,Ni,0.0
1833,EU27,Sn,0.0
1833,EU27,Zn,0.0
1833,ROW,Ni,
1833,ROW,Sn,14.33101090758204
1833,ROW,Zn,9.181266815021127
1834,CHN,Ni,0.0
1834,CHN,Sn,10.291284134090638
1834,CHN,Zn,9.070827514181346
1834,EU27,Ni,0.0
1834,EU27,Sn,0.0
1834,EU27,Zn,0.0
1834,ROW,Ni,
1834,ROW,Sn,15.229547025795968
1834,ROW,Zn,9.858187979899466
1835,CHN,Ni,0.0
1835,CHN,Sn,10.895068952799864
1835,CHN,Zn,9.746614763719935
1835,EU27,Ni,0.0
1835,EU27,Sn,0.0
1835,EU27,Zn,0.0
1835,ROW,Ni,
1835,ROW,Sn,16.098795388015162
1835,ROW,Zn,10.56182887182105
1836,CHN,Ni,0.0
1836,CHN,Sn,11.52442065525434
1836,CHN,Zn,10.414330833889847
1836,EU27,Ni,0.0
1836,EU27,Sn,0.0
1836,EU27,Zn,0.0
1836,ROW,Ni,
1836,ROW,Sn,17.004119995370406
1836,ROW,Zn,11.25434411074132
1837,CHN,Ni,0.0
1837,CHN,Sn,12.135056820443765
1837,CHN,Zn,11.107446728833631
1837,EU27,Ni,0.0
1837,EU27,Sn,0.0
1837,EU27,Zn,0.0
1837,ROW,Ni,
1837,ROW,Sn,17.880102000273098
1837,ROW,Zn,11.97224899924951
1838,CHN,Ni,0.0
1838,CHN,Sn,12.77059863830953
1838,CHN,Zn,11.79172414464611
1838,EU27,Ni,0.0
1838,EU27,Sn,0.0
1838,EU27,Zn,0.0
1838,ROW,Ni,
1838,ROW,Sn,18.79128956953167
1838,ROW,Zn,12.678584531811158
1839,CHN,Ni,0.0
1839,CHN,Sn,13.387250371935146
1839,CHN,Zn,12.5001547168507
1839,EU27,Ni,0.0
1839,EU27,Sn,0.0
1839,EU27,Zn,0.0
1839,ROW,Ni,
1839,ROW,Sn,19.67316140796983
1839,ROW,Zn,13.409124704846116
1840,CHN,Ni,0.0
1840,CHN,Sn,14.028211936095564
1840,CHN,Zn,13.199129328046869
1840,EU27,Ni,0.0
1840,EU27,Sn,0.0
1840,EU27,Zn,0.0
1840,ROW,Ni,
1840,ROW,Sn,20.589452161911098
1840,ROW,Zn,14.127766054197016
1841,CHN,Ni,0.0
1841,CHN,Sn,14.650171248580076
1841,CHN,Zn,13.921138662238592
1841,EU27,Ni,0.0
1841,EU27,Sn,0.0
1841,EU27,Zn,0.0
1841,ROW,Ni,
1841,ROW,Sn,21.476516789423812
1841,ROW,Zn,14.869548345343498
1842,CHN,Ni,0.0
1842,CHN,Sn,15.295898021013336
1842,CHN,Zn,14.633200395774727
1842,EU27,Ni,0.0
1842,EU27,Sn,0.0
1842,EU27,Zn,0.0
1842,ROW,Ni,
1842,ROW,Sn,22.397280911960724
1842,ROW,Zn,15.599195671359755
1843,CHN,Ni,0.0
1843,CHN,Sn,15.922561554150871
1843,CHN,Zn,15.367287808638723
1843,EU27,Ni,0.0
1843,EU27,Sn,0.0
1843,EU27,Zn,0.0
1843,ROW,Ni,
1843,ROW,Sn,23.288956793191925
1843,ROW,Zn,16.3510222351595
1844,CHN,Ni,0.0
1844,CHN,Sn,16.57249429371178
1844,CHN,Zn,16.091041749508648
1844,EU27,Ni,0.0
1844,EU27,Sn,0.0
1844,EU27,Zn,0.0
1844,ROW,Ni,
1844,ROW,Sn,24.213667103774842
1844,ROW,Zn,17.090554065394148
1845,CHN,Ni,0.0
1845,CHN,Sn,17.203344999813798
1845,CHN,Zn,16.8359059346916
1845,EU27,Ni,0.0
1845,EU27,Sn,0.0
1845,EU27,Zn,0.0
1845,ROW,Ni,
1845,ROW,Sn,25.10946430763596
1845,ROW,Zn,17.851389679475634
1846,CHN,Ni,0.0
1846,CHN,Sn,17.857003384094995
1846,CHN,Zn,17.57013971859981
1846,EU27,Ni,0.0
1846,EU27,Sn,0.0
1846,EU27,Zn,0.0
1846,ROW,Ni,
1846,ROW,Sn,26.03767532808595
1846,ROW,Zn,18.599833390096258
1847,CHN,Ni,0.0
1847,CHN,Sn,18.49159585549606
1847,CHN,Zn,18.324648684911168
1847,EU27,Ni,0.0
1847,EU27,Sn,0.0
1847,EU27,Zn,0.0
1847,ROW,Ni,
1847,ROW,Sn,26.937177174227827
1847,ROW,Zn,19.368778810000837
1848,CHN,Ni,0.0
1848,CHN,Sn,19.14856529474436
1848,CHN,Zn,19.0683051494163
1848,EU27,Ni,0.0
1848,EU27,Sn,0.0
1848,EU27,Zn,0.0
1848,ROW,Ni,
1848,ROW,Sn,27.868509022087892
1848,ROW,Zn,20.125286538301783
1849,CHN,Ni,0.0
1849,CHN,Sn,19.78651392095871
1849,CHN,Zn,19.831470995495
1849,EU27,Ni,0.0
1849,EU27,Sn,0.0
1849,EU27,Zn,0.0
1849,ROW,Ni,
1849,ROW,Sn,28.771357921729038
1849,ROW,Zn,20.901556725970643
1850,CHN,Ni,0.0
1850,CHN,Sn,20.446434869153492
1850,CHN,Zn,20.58362522264594
1850,EU27,Ni,0.0
1850,EU27,Sn,0.0
1850,EU27,Zn,0.0
1850,ROW,Ni,
1850,ROW,Sn,29.705483852703953
1850,ROW,Zn,21.665385659764443
1851,CHN,Ni,0.0
1851,CHN,Sn,21.087404216522646
1851,CHN,Zn,21.354582952801827
1851,EU27,Ni,0.0
1851,EU27,Sn,0.0
1851,EU27,Zn,0.0
1851,ROW,Ni,
1851,ROW,Sn,30.611370324443563
1851,ROW,Zn,22.4482919423448
1852,CHN,Ni,0.0
1852,CHN,Sn,21.749963457365926
1852,CHN,Zn,22.1144229809019
1852,EU27,Ni,0.0
1852,EU27,Sn,0.0
1852,EU27,Zn,0.0
1852,ROW,Ni,
1852,ROW,Sn,31.54800704026593
1852,ROW,Zn,23.21878814204274
1853,CHN,Ni,0.0
1853,CHN,Sn,22.393660411555043
1853,CHN,Zn,22.892412697494606
1853,EU27,Ni,0.0
1853,EU27,Sn,0.0
1853,EU27,Zn,0.0
1853,ROW,Ni,
1853,ROW,Sn,32.456661135788764
1853,ROW,Zn,24.007723545669542
1854,CHN,Ni,0.0
1854,CHN,Sn,23.05858391795818
1854,CHN,Zn,23.65922329819517
1854,EU27,Ni,0.0
1854,EU27,Sn,0.0
1854,EU27,Zn,0.0
1854,ROW,Ni,
1854,ROW,Sn,33.395561194267685
1854,ROW,Zn,24.784308622766243
1855,CHN,Ni,0.0
